X,Y
168.0,163.8
190.0,0.0
210.7,0.0
491.0,123.0
251.4,118.3
181.4,167.0
230.0,118.3
212.0,0.0
350.0,0.0
298.0,107.0
272.8,0.0
439.0,0.0
339.0,0.0
165.0,143.6
198.6,0.0
304.0,0.0
425.0,0.0
166.1,163.3
213.8,24.5
202.0,141.0
277.0,0.0
342.0,0.0
135.7,0.0
190.7,125.4
349.0,0.0
173.0,0.0
122.6,0.0
139.7,127.7
213.5,174.2
168.0,163.8
165.0,132.1
339.0,0.0
181.4,167.0
522.0,0.0
158.0,195.0
380.0,0.0
339.0,0.0
397.0,0.0
313.3,0.0
153.0,0.0
164.2,200.1
213.7,174.7
310.0,0.0
389.9,0.0
166.1,163.3
147.8,0.0
296.0,0.0
213.7,174.7
318.8,0.0
313.3,0.0
500.1,0.0
469.0,0.0
214.9,121.9
166.0,0.0
213.5,174.2
254.0,0.0
231.8,121.6
480.0,0.0
427.5,0.0
500.0,0.0
251.4,118.3
333.0,0.0
318.8,0.0
153.1,113.0
520.0,0.0
425.0,0.0
295.8,0.0
290.4,96.2
165.0,150.0
350.0,0.0
275.0,0.0
266.0,87.0
140.0,103.0
218.9,124.1
252.5,0.0
194.7,100.5
310.0,0.0
313.3,0.0
349.0,0.0
102.0,0.0
213.7,24.5
349.0,0.0
168.9,124.3
318.8,0.0
155.0,0.0
287.3,93.9
326.0,138.0
425.0,0.0
289.0,0.0
162.0,148.1
167.0,167.0
122.6,0.0
287.0,94.0
218.9,124.1
375.0,0.0
500.0,0.0
218.2,123.8
190.3,125.2
305.3,0.0
231.8,121.6
