X,Y
189.1,90.5
181.6,84.5
175.9,84.3
183.4,86.5
160.4,82.9
175.8,80.9
189.8,88.7
179.9,90.3
178.8,90.6
140.1,72.5
183.0,84.4
177.2,87.8
173.9,83.5
183.8,91.2
186.1,87.8
181.7,88.9
186.7,92.5
161.1,85.5
173.9,85.3
193.4,93.1
185.2,95.8
189.4,97.1
151.2,79.3
181.4,89.8
179.5,91.5
191.2,92.7
171.8,88.7
189.2,92.6
176.5,89.7
189.9,96.9
167.1,103.0
177.0,94.0
194.2,98.2
184.7,100.4
187.6,101.9
151.9,79.0
178.1,91.7
180.3,96.7
186.5,96.6
171.6,92.1
188.8,97.2
183.5,95.9
190.2,100.8
166.3,94.1
173.7,91.0
194.5,101.4
186.3,103.7
193.2,106.3
155.1,83.9
186.6,96.8
185.6,94.3
206.9,107.0
164.1,88.8
192.8,92.2
188.1,98.2
191.1,102.6
169.2,97.3
176.5,93.2
198.8,104.1
190.2,108.6
195.6,111.2
156.8,87.0
178.2,100.2
176.3,105.7
207.5,116.3
203.4,113.6
180.5,102.0
189.9,105.9
182.5,101.3
162.3,94.6
175.0,97.6
190.8,111.7
181.2,112.7
186.6,114.0
147.1,85.4
179.5,106.8
176.0,109.3
159.4,94.5
189.3,114.2
181.9,105.7
173.6,104.2
177.7,109.1
155.3,101.1
166.3,98.8
186.9,110.4
176.6,112.6
182.7,116.7
145.8,89.0
174.4,101.9
172.9,108.3
178.4,106.0
172.6,104.6
182.3,106.1
175.8,101.6
181.5,109.0
155.1,101.0
166.0,96.4
186.9,108.6
178.1,110.6
183.8,115.1
145.1,87.7
175.2,105.5
168.7,105.3
176.5,105.3
165.9,103.5
179.6,105.6
173.9,104.4
177.8,109.0
151.5,100.4
162.1,97.5
183.7,109.9
175.2,112.7
180.5,118.2
144.9,91.9
171.3,106.7
171.3,110.8
182.7,114.1
156.6,101.2
175.2,106.1
171.4,108.0
177.0,111.7
149.8,103.0
159.8,99.4
179.3,112.2
168.9,113.3
176.2,117.5
141.0,91.2
169.4,105.8
165.2,106.2
